,portfolio,total_fees,num_trades,num_trades_saved,end_price_HODL,end_price_rebalanced
878,ZEC-XRP-ETH-BTC-GNO-STRAT,994.7336152267525,643,147,33266.472272408064,47452.86417826365
879,GNO-REP-LTC-WAVES-STRAT-LSK,1415.6231411391466,848,0,44146.83468154362,54125.19546552639
880,WAVES-GNT-XMR-GNO-STRAT-DOGE,1146.4004166143345,926,0,32355.639438663486,49731.09218646318
881,LSK-ETH-XRP-GNT-WAVES-GNO,1453.2601220617134,819,109,52126.46289003539,69831.46273613257
882,STRAT-XLM-DASH-ETH-DCR-DOGE,1984.7901331421785,822,80,93015.7224819961,105758.97422159498
883,ETC-STEEM-WAVES-XEM-FCT-ARDR,2221.2358785799415,918,0,38995.94288854195,74425.06977945485
884,LSK-STRAT-XLM-XRP-BTC-GNT,2600.9308613768403,826,150,109853.72710834524,143309.5673428429
885,ETC-XMR-ETH-DCR-LSK-DASH,903.839838542631,657,73,46848.04249847765,59284.035875578484
886,DASH-GNT-XRP-ETC-ARDR-ZEC,1250.741031306009,858,0,30325.419054810704,49379.51487202932
887,STRAT-ARDR-ETH-LSK-ETC-BTC,1208.2520187646012,604,228,48163.50450093057,71129.35298078971
888,ARDR-XRP-GNT-GNO-LSK-XEM,2393.9748941932207,978,0,48668.54553677541,79043.14644006135
889,DASH-GNT-LSK-XMR-DCR-ZEC,907.1386619333539,790,0,42045.82872126478,52009.8572242075
890,ETH-DCR-ARDR-DOGE-STRAT-ZEC,1259.9514965355493,774,72,33367.88167715975,57935.66449490653
891,DOGE-PIVX-REP-GNT-DCR-XEM,1134.3620802625064,918,0,24891.51973444768,47079.0610298205
892,ETH-XRP-DASH-BTC-XMR-DOGE,1020.8549029954306,571,145,41820.53537842165,65759.60125825417
893,DCR-XMR-DASH-BTC-ARDR-XLM,2004.6764152688563,779,113,92768.86803750851,103003.02276254434
894,ARDR-DASH-STEEM-GNO-XEM-BTC,1806.0083975317243,806,124,34908.05217855898,64156.81327177108
895,ETC-XMR-REP-DCR-XEM-STEEM,1613.8252880106872,860,0,34107.90792496827,62824.332111726646
896,STRAT-LSK-ETC-ETH-FCT-GNT,988.5757094988217,732,120,42154.12715423122,54283.83670676019
897,XRP-WAVES-GNT-STRAT-REP-STEEM,1896.5994251257796,958,0,41874.87017154114,74511.12790569465
898,DCR-DOGE-ZEC-STEEM-WAVES-FCT,1390.3741779337622,884,0,36584.83289796569,59671.28944922108
899,ETC-XMR-DCR-STEEM-ETH-GNO,1103.8912950757583,789,77,34570.20287335847,52110.884634785885
900,XRP-ZEC-ETC-GNO-REP-GNT,883.8920361369709,834,0,22424.35226868737,32397.336627759265
901,LSK-ZEC-PIVX-LTC-FCT-ETH,935.3750737821924,681,93,42621.44993753922,52715.16197449874
902,DASH-WAVES-ARDR-BTC-LTC-DOGE,1236.1246863330844,677,101,37265.18455723834,61427.00284684861
903,DCR-WAVES-GNT-DOGE-FCT-PIVX,993.5137630706424,938,0,28565.37045053269,46998.955000004964
904,LSK-ARDR-STEEM-XLM-GNT-DASH,3820.705817804811,1020,0,110357.93349545026,153146.22979792272
905,FCT-XRP-PIVX-STEEM-REP-XLM,2612.504134592562,938,0,95285.83867656878,106682.35847050943
906,GNO-DCR-XMR-STEEM-ARDR-PIVX,1512.1553913107562,940,0,34206.62372085315,56403.40539465926
907,XRP-LTC-FCT-ETH-STEEM-STRAT,1777.9380648927445,758,100,44586.30186150052,83244.21537255374
908,LSK-BTC-DASH-XLM-ETC-XEM,2293.72856377392,732,144,103484.8134084199,121377.62028688352
909,ETH-ARDR-GNT-LTC-WAVES-DASH,1061.8030914565286,730,122,36331.71551419694,56643.04616484954
910,XLM-ETH-WAVES-LSK-FCT-STEEM,2805.3462164516855,786,140,116026.15599713668,158907.83583039706
911,LSK-DOGE-XMR-REP-ETH-DCR,1251.0208660265268,751,69,48176.46741956329,67080.90753331724
912,XMR-STEEM-GNO-ETC-ETH-PIVX,1031.158085294135,745,91,33224.250005105896,49469.22782519624
913,ARDR-XLM-DCR-REP-WAVES-DASH,2533.939792462368,936,0,91245.41649409758,96580.98497702496
914,DOGE-GNO-ETH-XEM-STRAT-REP,1270.3194787788505,783,73,29030.416137057982,49405.33518165194
915,LTC-XMR-XLM-XEM-GNO-ETH,2049.534608508175,775,95,93162.15079854336,97812.55431854122
916,STEEM-DASH-LSK-ETH-DOGE-REP,1661.4115246027193,738,104,51884.5889751782,78912.65271093075
917,GNO-BTC-WAVES-XEM-FCT-DCR,1115.853360561426,806,52,28943.917020703637,46306.57929227139
918,LSK-WAVES-DASH-ZEC-PIVX-ETC,1060.2870232447513,768,0,42055.52148565814,50598.625721211196
919,ARDR-GNT-REP-GNO-DOGE-XLM,2057.0595131831715,978,0,83814.30236977915,73612.69148492231
920,ZEC-ETC-LTC-DCR-REP-STEEM,1086.7903668041272,800,0,28860.32878070752,45346.491959191
921,XRP-WAVES-GNO-DASH-FCT-DCR,1235.4892566779401,876,0,33061.88105360801,47130.43316295161
922,DCR-XEM-GNT-REP-BTC-LTC,926.8825035115244,745,105,26463.34353310143,46667.83045067814
923,ETC-DCR-LSK-GNT-ZEC-ETH,772.9262128693704,732,90,40513.06442239171,47820.51522420772
924,DOGE-GNO-XRP-DCR-REP-XEM,1523.3350759720659,900,0,31354.46862600103,52982.910191995994
925,DASH-ETH-LTC-DCR-XLM-STRAT,1602.5242949812462,753,95,92622.23086356556,99294.93869277218
926,PIVX-DASH-BTC-ETH-FCT-GNO,686.6200082256813,689,97,24224.00648270974,34136.65066922975
927,ETC-REP-GNT-STEEM-WAVES-ZEC,1123.7207185649063,862,0,30320.63396576144,45302.91728155523
