portfolio,total_fees,taxes_owed,num_trades,num_trades_saved,end_price_HODL,end_price_rebalanced
ETH-SHIFT-AEON-ABY-SBD-DOGE-IOC-IOP-DCR-RBY,1372.0178453148023,17933.247103988244,1584,0,13545.50856853362,44040.67315708501
LBC-EBST-DOGE-BSD-SHIFT-PTC-EGC-STRAT-DASH-SEQ,2107.771494601938,29133.112756632858,1578,0,18173.852348109027,62125.1302090864
BCY-VTC-REP-BRK-ENRG-XMY-ZEC-GRC-RDD-EFL,1151.848536827471,15670.47760066519,1496,0,14777.740862839135,37277.90542886504
ENRG-CLOAK-XCP-NXT-BSD-XLM-BCY-VTC-EXCL-DOPE,2440.218177329712,34371.73902145941,1676,0,25212.046064696777,73677.29951730197
EMC-DCR-ZEC-DOGE-RVR-EBST-LBC-ZCL-AEON-BRK,2724.9341503546375,34666.74635724136,1784,0,16825.265651071764,86142.22938580213
EXCL-CURE-DOPE-LTC-SLR-XMY-IOP-BCY-BRK-PPC,1728.6731717258401,24893.159883740827,1560,0,14496.704521808892,49330.983434760325
PIVX-BLK-VIA-EGC-DOGE-SHIFT-EFL-DOPE-PTC-EXCL,1690.7279767557095,25375.487306854448,1508,0,19196.504128703476,57115.077217296035
WAVES-PIVX-ENRG-XMY-DOPE-ZCL-SPR-EFL-VRM-XMG,3151.895910722061,38674.033864144105,1762,0,15132.40162311391,84803.23841226664
NXS-DCR-EXCL-BLK-SPR-DMD-VTC-EBST-POT-GRC,2164.2193882335496,28310.39035388449,1688,0,19180.484178484367,64995.34187892297
NXT-XCP-BCY-BURST-AEON-ABY-XST-ETH-REP-STEEM,1303.6283340761263,17706.885101511907,1469,7,16326.157855680725,43264.36513140843
SYS-PTC-RVR-NEOS-VIA-ETC-SBD-STEEM-EFL-LBC,1221.4537217832706,16088.103815523167,1510,0,14798.519667651224,38392.274821310944
STEEM-RDD-LTC-BRK-EXCL-NXT-CLAM-REP-MONA-DASH,1552.8875613801545,24775.260505249767,1418,0,24310.18391887561,58412.63898093251
RVR-EMC-DASH-GRS-AEON-TX-XMG-ETH-ETC-SEQ,2533.6202774617614,37978.77837968753,1639,7,39424.11963260156,94389.79296635286
TX-WAVES-RVR-EXCL-EMC-VRM-REP-XMY-BSD-VIA,1893.2705968527298,28309.08238620614,1570,0,17270.362237640184,60208.235645210894
ZEC-EXCL-SLR-REP-POT-DGB-EFL-ETC-DASH-ABY,757.4487376193116,11912.309576833592,1348,0,12495.963370120187,28852.10216232494
DOPE-GRC-XVG-RDD-LBC-NXS-GRS-XMY-DMD-SBD,4729.03094238026,64035.497277423565,1772,0,60369.38960838041,148866.22377453806
XMG-PPC-DMD-DOPE-BLK-REP-EFL-NXT-VIA-VRM,1791.6618588636832,25949.10216791747,1502,0,15802.01732370341,53719.99852950736
EXCL-DOGE-PPC-CURE-OK-NEOS-GRS-BSD-XMG-SYS,2261.7691659454963,32281.39703277761,1680,0,37688.14214206163,81408.41196665508
IOP-SHIFT-SEQ-SLR-PTC-ABY-WAVES-BSD-REP-EGC,1720.9569815402958,24448.841573452086,1560,0,15977.400657373806,51382.54999108991
NLG-ZEC-CURE-ABY-ETH-NEO-EXCL-NXS-MONA-WAVES,1936.7181158843075,28956.062812878325,1466,18,59121.76855324905,73546.77669650625
IOP-GRS-AMP-OK-BYC-TX-ENRG-DMD-LSK-SEQ,3104.328947984448,40125.01339197428,1816,0,41179.09847920865,92492.81762239293
XVG-ZEC-BSD-VIA-SPR-EGC-EFL-ZCL-WAVES-BRK,3033.0353015470364,39283.1702958614,1804,0,37745.47085742477,98373.89811450869
ETC-SYS-NXT-BLK-SHIFT-DMD-CURE-NEO-OK-RDD,2440.6617973934344,39063.46593222268,1612,0,54538.330565609554,82574.29210883901
XMY-ENRG-ETH-NXT-LBC-EXP-DGB-STRAT-BCY-LTC,800.5556316532383,11186.452794821242,1364,32,12584.05940041982,25779.13582199774
BLK-DOGE-EXCL-BSD-FLO-DCR-ZEC-LSK-AUR-SLR,809.4282416109766,11962.767583044604,1376,0,17407.61351586147,33558.18883211461
LBC-XVG-REP-BTC-LSK-AEON-XRP-EFL-RVR-DMD,1902.2067604951542,28722.24471641533,1428,108,40875.14470547603,67729.11560431667
NXT-SPR-XLM-VRM-GRC-LTC-DGB-XMR-FLO-RVR,1469.7944291378187,20010.16889489235,1588,0,17834.80462277031,48221.4933147664
