,hodl,hourly,daily,weekly,monthly
MET-EMC-XHV-MUE-IGNIS,2349.2488687893147,9922.902929989705,6661.411335234036,6043.566305233961,6728.517004360246
WAX-ADX-POLY-NAV-2GIVE,2724.48703933474,8954.923731325309,5812.583264667572,4600.571307179594,4562.31142969517
RFR-VIB-MLN-TIX-DNT,2798.1583952171623,7736.327640331687,5724.766319282257,4410.877118479566,3203.090555060728
ARDR-XHV-EDR-VRM-RADS,2649.796036739014,8938.918584636442,6443.59107537953,5514.581708239046,6451.571279166841
BAY-DCT-SBD-BCPT-BURST,2615.015297326181,5514.1338315271305,5132.339746543161,4758.5778306918855,4009.4136103125375
DCT-MTL-LUN-XMR-DGB,2329.7444030757365,5739.3796457135295,5110.235700815614,4397.277271491879,3058.2638111545234
KORE-RVR-REP-IGNIS-EXP,2983.580766256953,11498.784316642368,6814.4889172797475,5027.832973355139,3572.3829621788477
BCHABC-EDR-BCPT-MER-WAX,2325.712709712479,16381.630904619504,11690.495786772524,9932.70044774426,4370.605792448911
HYDRO-SLR-OMG-KMD-DASH,2650.901101629421,4688.288035267154,4029.35814069966,3424.8039557964894,2661.3142003790413
UPP-IGNIS-ETC-XEL-FCT,3619.495773336827,19838.200352093998,19514.4369770014,35722.135662034016,6624.851213289645
LSK-MET-BLK-ETC-CLOAK,2993.8042440135173,8236.608288257565,5823.400572517092,4635.700903341125,3216.195833614305
LUN-TRX-MUSIC-GTO-BURST,2651.031528419704,5836.3161315746165,6141.539348978579,4991.199457827802,3491.544795065505
XNK-NAV-UBQ-MTL-CLOAK,2488.946541486273,103575.69117869846,12523.519205852608,5492.234829976476,3445.185772830898
XMY-BRK-ADA-VEE-NXT,2825.7189912785584,6667.823820946214,5463.959110906356,4156.00611633079,2947.28516745794
OK-RVR-DASH-XEL-UKG,2411.312394307577,5824.641721078113,5211.4269412451395,3927.541287782723,3861.200766745968
GLD-NXC-PTOY-BCPT-STORJ,3119.27143699759,22218.16348227738,13942.831090533215,20067.66876404795,5554.712024277556
NAV-NLG-DNT-SHIFT-XMR,3267.899878190728,6759.117601878703,5963.029909454372,5758.080702631351,4059.627845312079
UP-DCT-QWARK-NLG-ANT,3354.101699625289,10614.955942144445,8654.805314545492,10143.044247796444,5557.983752501628
OMG-TIX-GOLOS-NAV-DTB,2963.6221212850182,7556.899942665109,6653.698104079487,6749.774347090764,3662.5588045371087
SRN-MUSIC-BCHSV-TX-THC,2486.9190829551817,30813488963.48601,100321.25200185676,19502.422477969183,8863.6271759112
XWC-ANT-MLN-KORE-MET,2844.5035944564593,14348.77379888528,7876.774591477929,5752.0696877541895,3379.766933023277
ADA-BSD-UBQ-BRX-OK,2482.632402391976,7896.2508772892825,5087.779784020704,3769.2636156101476,2877.3581294323108
SALT-CVC-KMD-XHV-DGB,2411.6450874463753,5948.771871011594,5005.346593983721,4490.150124775019,6355.024971374925
QTUM-GO-XEM-POWR-SLS,2889.407480926402,5217.9440566208295,4491.8828242448335,4379.328153044165,4018.393598469849
TX-SEQ-USDS-LUN-DCR,2356.6476880889522,14407.989526824942,5629.2875734382615,3748.493027533601,3131.3390659766137
PART-TUSD-MTL-COVAL-POWR,3447.495947365287,9224.338556954614,8480.187118466813,8016.4235308918,4268.866458139064
NBT-MCO-XWC-FTC-STEEM,2534.9450653404747,5465.948717162386,4178.145109676006,3577.936684250577,3010.040792322
NAV-ZCL-PAX-DGB-DCR,2479.0468053655577,5781.312667990726,5544.788117384095,4893.626597783945,2876.119222728453
UP-POLY-BTC-SHIFT-XMR,2740.73267293473,4515.2723521875,3982.5610125415365,3932.120322187549,3310.8507070597693
NEO-MORE-VIB-SIB-SLR,3001.226069937299,11743.763809126614,6779.100777972031,5171.517171682146,3370.5249962302946
LBC-HYDRO-XVG-OCN-ETH,2592.3168132558912,4770.218091972996,4578.43090866033,3517.188510176921,2745.675133313209
