portfolio,total_fees,num_trades,num_trades_saved,end_price_HODL,end_price_rebalanced
XMR-OMG,550.5972429219435,178,0,22804.44091496772,26866.053944456227
SNT-BTC,328.11399103975646,77,77,10874.483235021191,50162.18271414416
XLM-STEEM,154.23052657342362,178,0,50904.93873743525,3802.192672157708
NEO-BTC,47.802823483431006,45,45,19099.25348848145,9538.135141197832
GNO-OMG,410.48544925375194,180,0,15122.824536160624,20100.202808607566
FCT-LSK,271.2252738793295,198,0,8456.237378959815,13437.70563721957
DASH-OMG,275.4754553237959,154,0,17840.972344533548,13233.885695948538
REP-STEEM,207.66056134987969,150,0,7286.94206257895,9077.245282544462
XMR-XEM,331.56195586389396,148,0,11188.533775367348,16747.09807212381
PIVX-BTC,157.36373288177288,76,76,10271.921985339915,10804.187055506976
BAT-FCT,269.6526351533269,170,0,9255.308172867204,11762.970815016299
WAVES-REP,173.91536542739777,128,0,6918.368952451198,9890.057762997372
ETC-XMR,534.2239249808165,150,0,11560.307529255777,27527.29211103396
XMR-FCT,622.5034291777373,192,0,9839.35005182819,28576.955167326025
FCT-PIVX,308.0043419768224,156,0,4180.368007722022,11957.23771202247
REP-OMG,272.5667532271252,174,0,18824.38390548644,16543.130765517504
DOGE-NEO,214.67293354608805,138,0,16566.98975129405,9171.853814510807
XMR-SNT,1365.4688143646897,182,0,11852.97281631314,81583.59519540105
XLM-OMG,200.43030584065983,218,0,62442.38058034273,7080.909365641875
SNT-BAT,781.8818332213145,174,0,11268.93093735215,36431.606552431884
FCT-XLM,170.85295515638614,198,0,49477.289717203224,6313.50245487342
REP-DASH,273.79394336872093,126,0,7965.8680308225785,11139.020014569902
DASH-WAVES,329.985129720721,134,0,5934.957391498306,9338.859105537642
XEM-WAVES,232.24987108601283,162,0,5177.566126561795,9202.594427210926
XEM-XRP,131.6512423608851,106,0,9766.443151623766,9540.979661254045
GBYTE-XMR,406.0334954104818,156,0,9224.47604101141,23380.703993908297
DCR-ETH,262.24441622097845,162,0,12021.450696746628,8557.082580718858
OMG-LTC,274.13508247164737,162,0,19606.505055264388,13998.019069450707
GNO-DCR,258.9465010118547,146,0,6794.014962744622,8051.0019861413675
ETC-SNT,892.534599265008,168,0,6503.886734830881,59230.8082345058
XLM-ETC,225.68306257547874,170,0,51198.24719463079,7133.315646912225
